Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,-9999,age_exact,position,starts,minutes,squad
Uğurcan Çakır,GK,tr Türkiye,30,1.tr Galatasaray,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f63a8347,30.0,GK,3,270,Türkiye
Hakan Çalhanoğlu,MF,tr Türkiye,32,1.it Inter,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,cd0fa27b,32.0,MF,2,180,Türkiye
Lamine Camara,MF,sn Senegal,22,1.fr Monaco,2004,4,3,248,2.8,0,1,1,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36,19c2ffa4,22.0,MF,3,248,Senegal
José Canale,DF,py Paraguay,29,1.ar Lanús,1996,4,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,97d24b73,29.0,DF,1,161,Paraguay
João Cancelo,DF,pt Portugal,32,1.es Barcelona,1994,5,5,312,3.5,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29,bd6351cd,32.0,DF,5,312,Portugal
Agustín Canobbio,FW,uy Uruguay,27,1.br Fluminense,1998,3,2,224,2.5,1,0,1,1,0,0,0,1,0.4,0.0,0.4,0.4,0.4,4f5a2f38,27.0,FW,2,224,Uruguay
Casemiro,MF,br Brazil,34,1.eng Manchester Utd,1992,5,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0.0,0.24,0.24,0.24,4d224fe8,34.0,MF,5,379,Brazil
Josué Casimir,MF,ht Haiti,24,1.fr Auxerre,2001,3,2,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,481f76cf,24.0,MF,2,182,Haiti
Timothy Castagne,DF,be Belgium,30,1.eng Fulham,1995,6,5,478,5.3,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,197640fd,30.0,DF,5,478,Belgium
Zeki Çelik,DF,tr Türkiye,29,1.it Roma,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,31a62dc7,29.0,DF,2,163,Türkiye
Lukáš Červ,MF,cz Czechia,25,1.cz Viktoria Plzeň,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bb4a41bc,25.0,MF,2,163,Czechia
Fares Chaïbi,MF,dz Algeria,23,1.de Frankfurt,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,357103bd,23.0,MF,4,360,Algeria
Štěpán Chaloupek,DF,cz Czechia,23,1.cz Slavia Prague,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ded82b9a,23.0,DF,1,90,Czechia
Mouhib Chamakh,GK,tn Tunisia,24,1.tn Club Africain,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9627f87b,24.0,GK,1,90,Tunisia
Mateo Chávez,DF,mx Mexico,22,1.nl AZ Alkmaar,2004,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17,f82246a1,22.0,DF,1,77,Mexico
Rayan Cherki,MF,fr France,22,1.eng Manchester City,2003,7,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b34c63a5,22.0,MF,1,130,France
Mathieu Choinière,MF,ca Canada,27,1.us LAFC,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,017459bb,27.0,MF,1,57,Canada
Tahith Chong,MF,cw Curaçao,26,2.eng Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2696b6a9,26.0,MF,3,247,Curaçao
Ryan Christie,MF,sct Scotland,31,1.eng Bournemouth,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,26ce2263,31.0,MF,1,95,Scotland
Brian Cipenga,MFFW,cd Congo DR,28,2.es Castellón,1998,2,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,0.62,0.62,e4787d6f,28.0,MF,2,146,Congo DR
Alessandro Circati,DF,au Australia,22,1.it Parma,2003,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1223765c,22.0,DF,4,390,Australia
Pathé Ciss,DF,sn Senegal,32,1.es Rayo Vallecano,1994,4,1,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9a0408b6,32.0,DF,1,184,Senegal
Livano Comenencia,MF,cw Curaçao,22,1.ch Zürich,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0.0,0.39,0.39,0.39,c9d96dc1,22.0,MF,3,233,Curaçao
Jhon Córdoba,FW,co Colombia,33,1.ru Krasnodar,1993,3,2,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9f381d8b,33.0,FW,2,99,Colombia
José Córdoba,DF,pa Panama,25,2.eng Norwich City,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bec98750,25.0,DF,3,270,Panama
Derek Cornelius,DF,ca Canada,28,1.fr Marseille,1997,4,4,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,577744b8,28.0,DF,4,315,Canada
Diogo Costa,GK,pt Portugal,26,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,93fffbcf,26.0,GK,5,450,Portugal
Nuno da Costa,FW,cv Cabo Verde,35,1.tr Başakşehir,1991,4,1,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,909222de,35.0,FW,1,159,Cabo Verde
Vladimír Coufal,MFDF,cz Czechia,33,1.de Hoffenheim,1992,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,fdf3cb77,33.0,MF,3,270,Czechia
Thibaut Courtois,GK,be Belgium,34,1.es Real Madrid,1992,6,6,550,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1840e36d,34.0,GK,6,550,Belgium
Maxime Crépeau,GK,ca Canada,32,1.us Orlando City,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ea42e480,32.0,GK,5,450,Canada
Max Crocombe,GK,nz New Zealand,32,2.eng Millwall,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fdf47077,32.0,GK,3,270,New Zealand
Pau Cubarsí,DF,es Spain,19,1.es Barcelona,2007,8,8,750,8.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,cc7888f3,19.0,DF,8,750,Spain
Andrés Cubas,MF,py Paraguay,30,1.us Vancouver,1996,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9b40a6ea,30.0,MF,5,480,Paraguay
Marc Cucurella,DF,es Spain,27,1.eng Chelsea,1998,8,8,750,8.3,0,2,2,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,1daec722,27.0,DF,8,750,Spain
Matheus Cunha,FW,br Brazil,27,1.eng Manchester Utd,1999,5,4,290,3.2,3,0,3,3,0,0,0,0,0.93,0.0,0.93,0.93,0.93,dc62b55d,27.0,FW,4,290,Brazil
Aymen Dahmen,GK,tn Tunisia,29,1.tn Ahly Sfaxien,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8bf49030,29.0,GK,2,180,Tunisia
Danilo,DF,br Brazil,34,1.br Flamengo,1991,5,4,405,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,94b2001f,34.0,DF,4,405,Brazil
Kevin Danso,DF,at Austria,27,1.eng Tottenham,1998,4,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6e33125f,27.0,DF,2,241,Austria
Vladimír Darida,MF,cz Czechia,35,1.cz Hradec Králové,1990,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3eb0f2df,35.0,MF,1,54,Czechia
Jonathan David,FW,ca Canada,26,1.it Juventus,2000,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0.0,0.64,0.64,0.64,ce50fd99,26.0,FW,5,420,Canada
Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1.sa Al-Hilal,1998,3,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7709e4a6,27.0,MF,2,207,Saudi Arabia
Salem Al-Dawsari,MF,sa Saudi Arabia,34,1.sa Al-Hilal,1991,3,3,245,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,60ee859c,34.0,MF,3,245,Saudi Arabia
Kevin De Bruyne,MF,be Belgium,34,1.it Napoli,1991,5,5,382,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,e46012d4,34.0,MF,5,382,Belgium
Maxim De Cuyper,DF,be Belgium,25,1.eng Brighton,2000,6,5,442,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,d494882e,25.0,DF,5,442,Belgium
Luc De Fougerolles,DF,ca Canada,20,1.eng Fulham,2005,5,4,372,4.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,45c427ff,20.0,DF,4,372,Canada
Charles De Ketelaere,FWMF,be Belgium,25,1.it Atalanta,2001,5,5,350,3.9,3,1,4,3,0,0,0,0,0.77,0.26,1.03,0.77,1.03,2ef7c612,25.0,FW,5,350,Belgium
Rodrigo De Paul,MF,ar Argentina,32,1.us Inter Miami,1994,7,6,491,5.5,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,162efffd,32.0,MF,6,491,Argentina
Amar Dedić,DF,ba Bosnia–Herz,23,1.pt Benfica,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bc6e544a,23.0,DF,3,270,Bosnia–Herz
Louicius Deedson,MF,ht Haiti,25,1.us FC Dallas,2001,3,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f7059bb1,25.0,MF,1,112,Haiti
Hannes Delcroix,DF,ht Haiti,27,1.ch Lugano,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b737f944,27.0,DF,3,270,Haiti
Ousmane Dembélé,MF,fr France,29,1.fr PSG,1997,8,7,592,6.6,6,2,8,6,0,0,0,0,0.91,0.3,1.22,0.91,1.22,b19db005,29.0,MF,7,592,France
Merih Demiral,DF,tr Türkiye,28,1.sa Al-Ahli,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e3cceee6,28.0,DF,2,180,Türkiye
Ermedin Demirović,FW,ba Bosnia–Herz,28,1.de Stuttgart,1998,4,4,354,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ed79b7d3,28.0,FW,4,354,Bosnia–Herz
Sergiño Dest,MF,us USA,25,1.nl PSV,2000,5,4,297,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5976f83e,25.0,MF,4,297,USA
Frans Dhia Putros,DF,iq Iraq,32,1.id Persib Bandung,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0102aa7e,32.0,DF,1,90,Iraq
Amad Diallo,MFFW,ci Côte d'Ivoire,23,1.eng Manchester Utd,2002,4,2,185,2.1,2,0,2,2,0,0,0,0,0.97,0.0,0.97,0.97,0.97,9dc96f10,23.0,MF,2,185,Côte d'Ivoire
Habib Diarra,MF,sn Senegal,22,1.eng Sunderland,2004,3,2,143,1.6,2,0,2,2,0,0,0,0,1.26,0.0,1.26,1.26,1.26,6d0fe035,22.0,MF,2,143,Senegal
Rúben Dias,DF,pt Portugal,29,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,31c69ef1,29.0,DF,4,360,Portugal
Krépin Diatta,DF,sn Senegal,27,1.fr Monaco,1999,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8104e41e,27.0,DF,4,390,Senegal
Mory Diaw,GK,sn Senegal,32,1.fr Le Havre,1993,3,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f41a69e6,32.0,GK,2,238,Senegal
Brahim Díaz,MF,ma Morocco,26,1.es Real Madrid,1999,6,6,457,5.1,0,4,4,0,0,0,0,0,0.0,0.79,0.79,0.0,0.79,407feb71,26.0,MF,6,457,Morocco
Luis Díaz,FWMF,co Colombia,29,1.de Bayern Munich,1997,5,5,478,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,4a1a9578,29.0,FW,5,478,Colombia
Lucas Digne,DF,fr France,32,1.eng Aston Villa,1993,6,5,463,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1b84dbe1,32.0,DF,5,463,France
Diney,DF,cv Cabo Verde,31,1.ae Al Bataeh,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,d2e33ba2,31.0,DF,4,390,Cabo Verde
Ousmane Diomande,DF,ci Côte d'Ivoire,22,1.pt Sporting CP,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,394be156,22.0,DF,1,90,Côte d'Ivoire
Yan Diomandé,MFFW,ci Côte d'Ivoire,19,1.de RB Leipzig,2006,4,4,329,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,919f5f54,19.0,MF,4,329,Côte d'Ivoire
Issa Diop,DF,ma Morocco,29,1.eng Fulham,1997,5,5,476,5.3,1,0,1,1,0,0,3,0,0.19,0.0,0.19,0.19,0.19,a712ca2b,29.0,DF,5,476,Morocco
El Hadji Malick Diouf,DF,sn Senegal,21,1.eng West Ham,2004,3,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bd5eb2e5,21.0,DF,2,171,Senegal
Ritsu Doan,MF,jp Japan,27,1.de Frankfurt,1998,4,4,278,3.1,0,1,1,0,0,0,0,0,0.0,0.32,0.32,0.0,0.32,d01bbb6f,27.0,MF,4,278,Japan
Jeremy Doku,MF,be Belgium,24,1.eng Manchester City,2002,5,4,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fffea3e5,24.0,MF,4,309,Belgium
Merchas Doski,DF,iq Iraq,26,1.cz Viktoria Plzeň,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,fdf4cfe5,26.0,DF,3,270,Iraq
David Douděra,MF,cz Czechia,28,1.cz Slavia Prague,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e95b4604,28.0,MF,1,90,Czechia
Désiré Doué,MF,fr France,21,1.fr PSG,2005,8,4,400,4.4,1,1,2,1,0,0,0,0,0.23,0.23,0.45,0.23,0.45,9e7483ff,21.0,MF,4,400,France
Guéla Doué,DF,ci Côte d'Ivoire,23,1.fr Strasbourg,2002,4,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,b4ef3fb5,23.0,DF,3,277,Côte d'Ivoire
Deroy Duarte,MF,cv Cabo Verde,26,1.bg Ludogorets,1999,4,2,264,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34,6af8fc5b,26.0,MF,2,264,Cabo Verde
Laros Duarte,MF,cv Cabo Verde,29,1.hu Puskás Akad.,1997,4,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4af3d3c8,29.0,MF,2,166,Cabo Verde
Denzel Dumfries,DFMF,nl Netherlands,30,1.it Inter,1996,4,4,390,4.3,0,2,2,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,481c9ece,30.0,DF,4,390,Netherlands
Jean-Kevin Duverne,DF,ht Haiti,28,1.be Gent,1997,2,2,169,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53,0cbc8baa,28.0,DF,2,169,Haiti
Edin Džeko,FW,ba Bosnia–Herz,40,2.de Schalke 04,1986,3,3,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3bb7f478,40.0,FW,3,176,Bosnia–Herz
Anthony Elanga,MFFW,se Sweden,24,1.eng Newcastle,2002,4,2,217,2.4,2,0,2,2,0,0,0,0,0.83,0.0,0.83,0.83,0.83,2fba6108,24.0,MF,2,217,Sweden
Eren Elmalı,DF,tr Türkiye,25,1.tr Galatasaray,2000,2,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8eeb8ba4,25.0,DF,1,111,Türkiye
Nico Elvedi,DF,ch Switzerland,29,1.de Gladbach,1996,6,6,600,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,48035304,29.0,DF,6,600,Switzerland
Breel Embolo,FW,ch Switzerland,29,1.fr Rennes,1997,6,6,501,5.6,2,2,4,1,1,1,2,1,0.36,0.36,0.72,0.18,0.54,0b4f388a,29.0,FW,6,501,Switzerland
Julio Enciso,FW,py Paraguay,22,1.fr Strasbourg,2004,5,5,386,4.3,1,2,3,1,0,0,0,0,0.23,0.47,0.7,0.23,0.7,9cfbad36,22.0,FW,5,386,Paraguay
Fidel Escobar,DF,pa Panama,31,1.cr Saprissa,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4991ec66,31.0,DF,1,90,Panama
Pervis Estupiñán,MF,ec Ecuador,28,1.it Milan,1998,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d38fdf53,28.0,MF,1,89,Ecuador
Stephen Eustáquio,MF,ca Canada,29,1.pt Porto,1996,5,4,392,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,577efaec,29.0,MF,4,392,Canada
Martin Expérience,DFMF,ht Haiti,27,2.fr Nancy,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9edb83f4,27.0,DF,3,270,Haiti
Saeid Ezatolahi,MF,ir IR Iran,29,1.ae Al-Ahli Dubai FC,1996,3,3,264,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,314d95ac,29.0,MF,3,264,IR Iran
Eberechi Eze,MF,eng England,27,1.eng Arsenal,1998,5,1,211,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43,ae4fc6a4,27.0,MF,1,211,England
José Fajardo,FW,pa Panama,32,1.ec Univ Católica,1993,3,1,155,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,682e47b3,32.0,FW,1,155,Panama
Odeh Al-Fakhouri,MFFW,jo Jordan,20,1.eg Pyramids FC,2005,3,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,30591ae5,20.0,MF,2,148,Jordan
Henrik Falchener,DF,no Norway,23,1.no Viking,2003,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,57fe6b9b,23.0,DF,1,65,Norway
Ahmed Fathy,MF,qa Qatar,33,1.qa Al-Arabi,1993,3,1,150,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,f2369793,33.0,MF,1,150,Qatar
Hamdy Fathy,DFMF,eg Egypt,31,1.qa Al-Wakrah,1994,4,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,c8ef4955,31.0,DF,3,238,Egypt
Ahmed Fatouh,DF,eg Egypt,28,1.eg Zamalek SC,1998,3,3,267,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,de13286d,28.0,DF,3,267,Egypt
Abbosbek Fayzullayev,MF,uz Uzbekistan,22,1.tr Başakşehir,2003,3,3,220,2.4,1,0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,ef1d36a1,22.0,MF,3,220,Uzbekistan
João Félix,MF,pt Portugal,26,1.sa Al-Nassr,1999,3,3,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8aafd64f,26.0,MF,3,201,Portugal
Lewis Ferguson,MF,sct Scotland,26,1.it Bologna,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ee64a822,26.0,MF,3,270,Scotland
Bruno Fernandes,MF,pt Portugal,31,1.eng Manchester Utd,1994,5,5,422,4.7,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,507c7bdf,31.0,MF,5,422,Portugal
Enzo Fernández,MF,ar Argentina,25,1.eng Chelsea,2001,7,7,659,7.3,2,0,2,2,0,0,2,1,0.27,0.0,0.27,0.27,0.27,5ff4ab71,25.0,MF,7,659,Argentina
Álvaro Fidalgo,MF,mx Mexico,29,1.es Real Betis,1997,3,1,96,1.1,1,0,1,1,0,0,0,0,0.94,0.0,0.94,0.94,0.94,c705cdc4,29.0,MF,1,96,Mexico
Sherel Floranus,DF,cw Curaçao,27,1.nl Zwolle,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5ad49fbb,27.0,DF,3,270,Curaçao
Seko Fofana,MF,ci Côte d'Ivoire,31,1.pt Porto,1995,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5313ed43,31.0,MF,1,92,Côte d'Ivoire
Yahia Fofana,GK,ci Côte d'Ivoire,25,1.tr Rizespor,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9d420dad,25.0,GK,4,360,Côte d'Ivoire
Deveron Fonville,DF,cw Curaçao,23,1.nl NEC Nijmegen,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21932982,23.0,DF,3,241,Curaçao
Lyle Foster,FW,za South Africa,25,1.eng Burnley,2000,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f84a807c,25.0,FW,1,55,South Africa
Alan Franco,DF,ec Ecuador,27,1.br Atlético Mineiro,1998,4,4,251,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,c76b161b,27.0,DF,4,251,Ecuador
Alex Freeman,DF,us USA,21,1.es Villarreal,2004,5,4,374,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,754f150b,21.0,DF,4,374,USA
Matt Freese,GK,us USA,27,1.us NYCFC,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2f49476c,27.0,GK,4,360,USA
Remo Freuler,MF,ch Switzerland,34,1.it Bologna,1992,6,6,592,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,98d2c2c4,34.0,MF,6,592,Switzerland
Juriën Gaari,DF,cw Curaçao,32,2.sa Abha,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bf7a9d1a,32.0,DF,2,166,Curaçao
Jassem Gaber,MF,qa Qatar,24,1.qa Al Rayyan SC,2002,3,3,149,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,af9ef8aa,24.0,MF,3,149,Qatar
Cody Gakpo,FW,nl Netherlands,27,1.eng Liverpool,1999,4,4,368,4.1,3,1,4,3,0,0,0,0,0.73,0.24,0.98,0.73,0.98,1971591f,27.0,FW,4,368,Netherlands
Matías Galarza,MF,py Paraguay,24,1.us Atlanta Utd,2002,4,4,388,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.46,0.23,0.46,8e97a57b,24.0,MF,4,388,Paraguay
Hernán Galíndez,GK,ec Ecuador,39,1.ar Huracán,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,89c136f6,39.0,GK,4,360,Ecuador
Jesús Gallardo,DF,mx Mexico,31,1.mx Toluca,1994,5,4,373,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d0846b6c,31.0,DF,4,373,Mexico
Ben Gannon-Doak,MF,sct Scotland,20,1.eng Bournemouth,2005,3,2,186,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,733f1a7d,20.0,MF,2,186,Scotland
Gavi,FW,es Spain,21,1.es Barcelona,2004,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19cae58d,21.0,FW,1,76,Spain
Ismaël Gharbi,MF,tn Tunisia,22,1.de Augsburg,2004,3,1,127,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5b3cfa12,22.0,MF,1,127,Tunisia
Saman Ghoddos,MF,ir IR Iran,32,1.ae Al-Ittihad Kalba,1993,3,3,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f7b1d4e0,32.0,MF,3,208,IR Iran
Mohammad Ghorbani,MF,ir IR Iran,25,1.ae Al-Wahda FC,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4a078e18,25.0,MF,1,90,IR Iran
Lee Gi-hyuk,DF,kr Korea Republic,25,1.kr Gangwon FC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18c8c3c7,25.0,DF,3,270,Korea Republic
Armin Gigovic,MF,ba Bosnia–Herz,24,1.ch Young Boys,2002,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d0a0858e,24.0,MF,1,79,Bosnia–Herz
Orlando Gill,GK,py Paraguay,26,1.py San Lorenzo,2000,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0d425331,26.0,GK,5,480,Paraguay
Diego Gómez,MF,py Paraguay,23,1.eng Brighton,2003,4,4,304,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,916728da,23.0,MF,4,304,Paraguay
Gustavo Gómez,DF,py Paraguay,33,1.br Palmeiras,1993,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d5ce52a5,33.0,DF,5,480,Paraguay
Nicolás González,MF,ar Argentina,28,1.es Atlético Madrid,1998,7,1,259,2.9,0,1,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,2374aaca,28.0,MF,1,259,Argentina
Anthony Gordon,MF,eng England,25,1.es Barcelona,2001,6,5,396,4.4,1,3,4,1,0,0,0,0,0.23,0.68,0.91,0.23,0.91,2bd83368,25.0,MF,5,396,England
Amine Gouiri,FW,dz Algeria,26,1.fr Marseille,2000,4,3,251,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36,aad56ca3,26.0,FW,3,251,Algeria
Ryan Gravenberch,MF,nl Netherlands,24,1.eng Liverpool,2002,4,4,345,3.8,0,2,2,0,0,0,0,0,0.0,0.52,0.52,0.0,0.52,b8e740fb,24.0,MF,4,345,Netherlands
Michael Gregoritsch,FW,at Austria,32,1.de Augsburg,1994,3,2,188,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,8e235926,32.0,FW,2,188,Austria
